epoch,loss,val_loss
0,282.59816013944254,168.99779674998004
1,219.05959523849498,162.38458121487642
2,209.68663582595417,158.74399209288416
3,203.15457279443706,152.81029672161796
4,197.78975637027054,156.30895757852434
5,193.100269177302,157.71545929181974
6,188.56412781343306,154.64003010576099
7,184.23311750017783,151.88594786916966
8,180.5553270121025,153.18874519376507
9,176.3489054689592,154.36930804624876
10,172.6567207276689,155.42692299314592
11,168.73403700734016,154.78304384366288
12,164.89550728614054,156.0953533924202
13,161.03578938717925,160.94718459459042
14,157.24177394939642,153.6136489924888
15,153.59734547587297,156.76555120191608
16,149.55074142701764,162.30705970282006
17,145.88011405675445,159.60005641781265
18,142.376667631907,165.82381127226307
19,139.13634056015792,164.02831472517389
20,135.35498558243933,170.17542825578315
21,131.93641070753208,173.01915131182474
22,128.5152656892181,168.99835233440186
23,125.17315595155982,174.63487459204012
24,122.1348660480749,176.8744992110809
25,119.25811090298885,182.49821730262727
26,116.3417822395017,184.7365058416771
27,113.40550271438731,186.0596770672993
