epoch,loss,val_loss
0,0.3451673333622677,0.24847057760869704
1,0.3065754338220579,0.23812000231893532
2,0.29533841150658297,0.22733606841262832
3,0.2876375398320274,0.23118198549437258
4,0.2807395268286115,0.23215423574234917
5,0.27517587528973353,0.23728648415285417
6,0.2689906276475205,0.23591208385933732
7,0.26324803094547594,0.23024783408110028
8,0.2584390095504564,0.23478742724900795
9,0.2533026071322301,0.2393406964700018
10,0.24833793936178697,0.243679052724271
11,0.24319152623164036,0.23735424521687307
12,0.23760009126968584,0.24333958516112048
13,0.2333546236150813,0.24767595673582368
14,0.22751060704534032,0.24041643860614875
15,0.22281025341068172,0.24258912784016265
16,0.21776943999769277,0.2525576188551006
17,0.2122149389077015,0.25062690054838543
18,0.20742662840966267,0.24800881898536115
19,0.20254520445177132,0.25640470753371936
20,0.19783428590703458,0.2569382771240291
21,0.19256104141240424,0.26549927258801725
22,0.1891447658869202,0.2629210232137304
